
0x1F312	왁싱,
0x1F313	쿼터,
0x1F314	특대,
0x26C8	우뢰,
0x1F32A	선풍,
0x2614	드롭,
0x26C4	눈사람,
0x1F383	할로윈,잭,칸델라,
0x1F38B	배너,
0x1F38D	대나무,소나무,
0x1F38F	잉어,사광,
0x1F390	차임,
0x1F391	행사,
0x1F397	알림,
0x1F39F	입학,티켓,
0x1F3AB	입장,
0x1F396	메달,군,
0x1F947	금,금메달,
0x1F948	은메달,은,
0x1F949	동메달,동,
0x1F3C0	테두리,
0x1F3C8	아메리칸,
0x1F3BE	라켓,
0x1F3B1	당구,
0x1F3D1	필드,하키,
0x1F3D3	외륜,탁구,
0x1F3F8	버디,셔틀콕,
0x1F94A	권투,장갑,
0x1F94B	유도,가라데,무술,태권도,제복,
0x1F3AF	땡기,다트,명중,목표,
0x26F8	스케이트,
0x1F3BD	육상,새시,
0x1F3AE	컨트롤러,
0x2660	카드,
0x1F004	마작,
0x1F3B4	연주하다,
0x1F507	음소거,
0x1F50A	화려한,
0x1F4E2	시끄러운,
0x1F4E3	응원,
0x1F4EF	경적,게시물,
0x1F399	사진관,
0x1F39A	수준,슬라이더,
0x1F39B	제어,손잡이,
0x1F3B7	색소폰,
0x1F3B9	키보드,
0x1F941	드럼,나지만,
0x1F4F1	핸드폰,모바일폰,스마트폰,휴대폰,
0x1F4F2	받을,
0x1F4DE	수신기,
0x1F4E0	팩스,
0x1F50B	배터리,
0x1F50C	플러그,
0x1F5A5	데스크톱,
0x1F4FD	프로젝터,
0x1F3AC	클래퍼,시작,스타트,액션,
0x1F4FA	텔레비젼,
0x1F4F8	플래시,
0x1F4FC	테이프,VHS,
0x1F50D	돋보기,검색,
0x1F52C	과학,
0x1F4E1	안테나,위성,
0x1F526	토치,
0x1F3EE	랜턴,
0x1F4D4	노트북,
0x1F4D5	닫은,
0x1F4C3	문서,페이지,
0x1F4DC	종이,
0x1F4F0	뉴스,
0x1F5DE	신문,
0x1F4D1	북마크,마커,탭,
0x1F4B4	엔,
0x1F4B6	유로,
0x1F4B7	파운드,
0x1F4B3	신용,
0x1F4B9	차트,그래프,주식,상승,경향,상향,
0x1F4B1	교환,
0x2709	이메일,
0x1F4E8	봉투,들어오는,메일,받다,
0x1F4E9	나가는,보낸,
0x1F4E4	보냈다,쟁반,
0x1F4E6	꾸러미,
0x1F4EB	사서함,
0x1F4EA	낮추다,
0x1F5F3	투표,
0x270F	연필,
0x2712	펜촉,펜,
0x1F58A	볼펜,
0x1F58D	크레용,
0x1F4C1	파일,폴더,
0x1F5C2	분배기,
0x1F4C5	날짜,
0x1F4C6	달력,
0x1F5D2	패드,
0x1F4C7	롤오덱스,
0x1F4CC	핀,
0x1F4CD	압정,
0x1F4CE	클립,
0x1F587	링크,
0x1F4CF	통치자,
0x1F4D0	세트,
0x1F5C4	캐비닛,줄질,
0x1F5D1	휴지통,
0x1F50F	잉크,은둔,
0x1F5DD	단서,
0x26CF	광산,
0x2692	망치,선택,
0x1F6E0	스패너,렌치,
0x2694	교차,
0x1F3F9	궁수,양궁,
0x1F529	볼트,
0x1F5DC	압축,바이스,
0x2697	화학,
0x26D3	체인,
0x26B1	항아리,
0x1F6D2	장바구니,
0x1F6B0	음료수,
0x1F6BE	옷장,
0x1F6C2	여권,
0x1F6C3	세관,
0x1F6C4	수하물,청구,
0x1F6C5	사물함,짐,
0x1F6B8	교차점,보행자,
0x1F51E	18,18금,
0x2622	방사능,
0x2B06	위로,북쪽,
0x2197	북동,북동쪽,
0x2198	남동,남동쪽,
0x2B07	남쪽,
0x2199	남서,남서쪽,
0x2B05	서쪽,
0x2196	북서,북서쪽,
0x2935	하위,돌아가,
0x1F519	뒤로,
0x1F51A	종료,
0x1F51C	곧,
0x1F6D0	예배,
0x269B	원자,
0x1F549	힌두교,
0x2721	데이비드,
0x2638	불교,달마,
0x262F	타오,도교,
0x1F54E	초라한,촛대,
0x2648	양자리,백양궁,
0x264B	게자리,
0x264F	전갈자리,
0x2651	염소자리,
0x26CE	뱀주인자리,땅꾼자리,
0x1F501	반복,
0x1F502	일단,
0x23E9	빠른,앞으로,
0x25C0	반대,
0x23EA	되감기,
0x23EB	더블,
0x23F8	수직선,
0x23FA	기록,
0x23CF	꺼내다,
0x1F505	밝기,희미한,낮은,
0x1F506	명도,
0x1F4F3	모드,진동,
0x1F4F4	끄기,
